tweet,magnitude,embedding0,embedding1,embedding2,embedding3,embedding4,embedding5,embedding6,embedding7,embedding8,embedding9,embedding10,embedding11,embedding12,embedding13,embedding14,embedding15,embedding16,embedding17,embedding18,embedding19,embedding20,embedding21,embedding22,embedding23,embedding24,embedding25,embedding26,embedding27,embedding28,embedding29,embedding30,embedding31,embedding32,embedding33,embedding34,embedding35,embedding36,embedding37,embedding38,embedding39,embedding40,embedding41,embedding42,embedding43,embedding44,embedding45,embedding46,embedding47,embedding48,embedding49,embedding50,embedding51,embedding52,embedding53,embedding54,embedding55,embedding56,embedding57,embedding58,embedding59,embedding60,embedding61,embedding62,embedding63,embedding64,embedding65,embedding66,embedding67,embedding68,embedding69,embedding70,embedding71,embedding72,embedding73,embedding74,embedding75,embedding76,embedding77,embedding78,embedding79,embedding80,embedding81,embedding82,embedding83,embedding84,embedding85,embedding86,embedding87,embedding88,embedding89,embedding90,embedding91,embedding92,embedding93,embedding94,embedding95,embedding96,embedding97,embedding98,embedding99,nrc-anger,nrc-anticipation,nrc-disgust,nrc-fear,nrc-joy,nrc-sadness,nrc-surprise,nrc-trust,senti-pos,senti-neg
How the fu*k! Who the heck! moved my fridge!... should I knock the landlord door. #angry #mad ##,0.938,0.027573217,-0.044063545,0.016299984,-0.030848387999999997,0.043225597000000004,-0.019160745,0.07401107900000001,0.0056143880000000005,-0.036048218,-0.016869725,0.021674599,0.054322333,-0.080990142,-0.06869180400000001,-0.006042209000000001,0.05834943,0.019191387,0.014706869,0.022262453999999997,0.050067664000000005,-0.002786717,0.027525239,0.029896811000000002,0.014115991000000001,0.0030682490000000003,-0.06904521200000001,0.075875654,0.09079817,-0.011113858999999999,-0.033465367,-0.023990808,0.00810103,-0.019343941,-0.033097584,0.007096434,-0.041188498999999996,0.007548789,-0.028841112999999998,-0.069613828,0.005536636,-0.029513465,-0.000426,0.01004056,0.046016277,-0.0018036579999999999,0.001753153,-0.026785912999999998,-0.027710000000000002,-0.049912822,-0.055279472999999996,0.009694846,0.052655722,-0.031394747,0.024355289,0.008376933,0.005093716,0.021664821,0.021153102000000003,-0.048081106,0.029117816,0.039016407999999995,-0.071146481,-0.045579947,0.016354162,-0.056272296,0.026397802,0.028982239,0.062714363,0.031712419,0.055141024000000004,-0.09502916800000001,-0.002706635,0.063078782,-0.034144481000000004,-0.023454131,-0.002159205,-0.011454437,-0.018498598,0.023117471,0.031971936,0.057275788,-0.030052922000000003,0.061128107,-0.00440778,-0.024219208,0.056198429,-0.019984448999999998,0.044449905,0.010726871,0.004275565,0.029528631,0.059661419,-0.037903928999999996,-0.008498098,-0.045541520999999995,0.036817516,0.050331174000000006,-0.018760099,0.023180441,0.00298247,4.663907204,0.0,0.723601075,0.510225527,0.0,0.949510893,0.34076390700000003,0.096613695,0.0,-0.550297619
So my Indian Uber driver just called someone the N word. If I wasnt in a moving vehicle Id have jumped out #disgusted,0.8959999999999999,0.018428859,-0.072931861,0.000357,0.006196406999999999,0.035282654,0.012483798999999999,0.056799877,-0.002613444,0.022688291,-0.017618676,-0.000388,0.010626018999999999,-0.085218849,-0.054829924,-0.014483066999999999,0.016605458,-0.028330072999999997,-0.044644103,-0.026552302000000003,0.04223303900000001,-0.0046776790000000006,-0.008890014,0.043331691,0.001802798,-0.034943904,-0.10503779999999999,0.08619166800000001,0.057214914000000006,-0.001157103,-0.060980328,-0.051231904,0.0038988720000000003,-0.022677378999999998,-0.01446106,0.015607126,-0.031250381,0.007127296,-0.037499288,-0.057636395,-0.008655678,-0.051612352,-0.006558001999999999,0.053200655,0.092864705,0.032696771,0.04903843,-0.040093825,-0.034092893,-0.023944967,-0.07409458099999999,0.035417254,0.066607414,-0.011076896999999999,0.04324319099999999,0.051937357999999996,-0.008598983000000001,0.030995635,0.020690482,-0.049299192,0.027947267,0.03010743,-0.038586868999999996,-0.041934689,0.01400723,-0.011317571,0.022060325,-0.011664,0.069929905,-0.020036256000000002,0.010041187,-0.075684426,0.025010396,0.034252205,-0.01389566,-0.020270138,0.008142686,0.021710603,-0.021253118999999997,-0.024410285,0.052166647000000003,0.061139028,-0.066302496,0.08866320800000001,0.043749565,0.007097636,0.106344657,0.008179366,0.090954069,-0.030562791000000002,-0.004193205,0.043227864000000005,0.049329824,-0.016052377,-0.046182834000000006,-0.058769252,0.007131538000000001,0.037075542999999996,-0.03889232,0.020342662,-0.020324242,1.639888666,1.199798937,2.6610558109999998,1.2209224909999998,0.267771549,0.01607417,0.963917507,0.134472958,1.1825764509999999,-0.87594697
@DPD_UK I asked for my parcel to be delivered to a pick up store not my address #fuming #poorcustomerservice,0.8959999999999999,0.011639403999999999,-0.039657918,0.0033359540000000003,-0.022762945,0.010773403,0.023457942000000002,0.09473622599999999,0.023752722,-0.029406905,-0.00606767,0.025963182,-0.015777442,-0.068799228,-0.054946558,0.005882206,0.03826456,-0.031162163,-0.036821736,-0.021934769,0.037454058,-0.017705662,-0.018955583999999998,0.04076551,0.014884546,-0.011435418999999999,-0.056688416,0.070491655,0.110560829,-0.026969889,0.002245199,-0.043005601,0.004929879,-0.015423464,-0.028269639,-0.006903949,-0.033353757000000005,-0.016655383,0.000638,-0.072374174,0.016442526000000002,-0.039722185,-0.007615081,-0.001904299,0.058643884,0.0010033960000000001,0.066954317,-0.071429181,0.009923391,-0.010426478000000001,-0.018579217,0.038010521,0.083006371,0.02201411,0.036715341,0.051970472999999996,-0.003015305,0.00914418,0.05088622,-0.062815361,0.088859422,0.018567073,-0.056607428,-0.0028497329999999997,-0.007985082,0.022137433999999998,0.045049377,0.016260485,0.058839712,-0.056767202999999995,0.031413586,-0.08594808599999999,0.038054137,0.078594706,-0.006642018,-0.014252052,0.016932479,0.006248566,-0.028187757,0.002088725,0.021948181,0.023739619,-0.045045748,0.069605061,0.03906639,0.033647359,0.085171119,0.019787825,0.082801875,0.006418531999999999,-0.020309429,0.009407206,0.039237169,8.73e-05,-0.059449188,-0.062548551,-0.012417145,-0.020975008,-0.023817615,0.06297825900000001,0.018103341000000002,3.165991642,1.8717011909999999,0.348634421,0.562703602,0.0,0.0,0.026198513,0.668616744,0.37053571399999996,-0.576041667
so ef whichever butt wipe pulled the fire alarm in davis bc I was sound asleep #pissed #angry #upset #tired #sad #tired #hangry ######,0.8959999999999999,0.017726936000000002,-0.06134760400000001,0.00578137,-0.025745369,0.024730809,0.025114861000000002,0.020981833999999998,0.015788609,-0.005886486,0.023468539,0.036288813999999996,0.054016134,-0.072233376,-0.038728615,-0.014379065,0.030284934,-0.004743926,-0.002144278,0.038750953,0.040860163,0.025356205,-0.002014653,0.027065499,-0.017493083,0.005728461999999999,-0.052683314,0.029266877,0.039137761,-0.002408165,-0.025261874,-0.025349171,0.004558398,-0.042542070999999994,0.018139131,-0.008270295,-0.005289814,0.054999458,-0.025858312999999997,-0.009744876,-0.003226818,-0.037455686,0.030787013999999998,0.019647158,0.0065628,0.043899192999999996,0.058531147,-0.008762886999999999,-0.008167021,-0.040505726,-0.064337985,0.0012240369999999999,0.025629903,-0.011002276,0.000782,0.041018254,-0.032372299,0.067163682,0.00142348,0.01224097,0.008303759,0.034081202000000005,-0.059914529,-0.03852855,0.02817762,-0.033699806,0.029239142000000003,0.046594912999999995,0.022170502,0.05100378,0.048637552,-0.018310278,0.007078876,0.03484448,-0.008613652,-0.018097902,-0.049540618,-0.03859636,0.0017266520000000002,-0.023907487999999998,0.01505429,0.020193223,-0.027143376,0.050726654,-0.00445791,-0.023801587000000003,0.071098282,-0.00947783,-0.0075369090000000005,0.020084428,0.013176486000000001,0.077217727,0.026941862,-0.003766094,0.016066569,-0.040761847000000004,-0.0027881259999999997,0.019010971,0.007699480999999999,0.002606341,-0.035824522000000004,7.589338762000001,1.058823099,1.3270441929999999,0.897109225,0.476310154,3.80307384,0.6779079490000001,0.0,1.1232142859999998,-0.491865079
"Dont join @BTCare they put the phone down on you, talk over you and are rude. Taking money out of my acc willynilly! #fuming",0.8959999999999999,0.010332901,-0.055002322,0.022571126,-0.025748712000000003,0.047269245,0.004559356,0.077404711,0.002143675,-0.008908062,-0.005069506,-0.027645943,-0.004939954,-0.078625435,-0.036235899,0.009155507,0.03132789,-0.025475902999999998,-0.012325862,-0.007782904,0.042819696,0.006057891,-0.02682487,0.037722094,0.016023652,-0.011519511999999999,-0.043807674000000005,0.096446381,0.072461736,0.001060961,-0.029074298,-0.054279838,0.035653727,0.00526588,-0.039540223,0.012544297,-0.006888137,-0.040404392000000004,0.014951733,-0.07290060400000001,0.000469,-0.040852702000000005,-0.042218088,0.0264131,0.076619536,-0.016778485,0.056157846,-0.09206349800000001,-0.014222901999999999,-0.026231441,0.000341,0.02486678,0.113627381,-0.028341629,0.080462246,0.059980819000000005,0.011656735,-0.022892645,0.05721084,-0.039081906,0.037766678,0.055617663,-0.077789606,-0.027559196,-0.046867390999999994,-0.018905433,0.039524335,0.039867442999999995,0.07850182,-0.026934235,0.034762187,-0.087136348,-0.005649025,0.03466326,-0.015806696999999998,-0.023532427,-0.021553204,0.011262485,-0.020516463999999998,0.000218,0.030570003999999998,0.080128327,-0.04347822,0.064630271,0.041114423,0.030379677999999997,0.064842644,-0.003947986,0.050585889,-0.011764267,0.010074507,0.047332433,0.047395390999999995,0.000758,-0.042767887000000004,-0.057597984000000005,0.019237563,0.027739131,-0.071847248,0.033298022000000004,0.004718835,3.478338265,0.852857942,1.907073631,0.19992739399999998,0.11050378699999999,0.302824472,1.020906606,0.45343640399999996,0.5555555560000001,-1.1001533190000001
My blood is boiling,0.875,0.056615597999999996,0.012956879,0.068501728,0.02228713,0.049206964000000006,0.099740409,0.06977653,-0.021307025,0.029173787000000003,-0.036216959,-0.035334841,0.063799553,-0.082151,-0.13171364900000002,-0.051374235,0.006223649,-0.096037259,-0.027179454,0.013741008999999998,0.025673712,0.034526561000000004,0.014320217,0.012535544,-0.043833224000000004,-0.042474242999999995,-0.08918139,0.015702836,0.08577749999999999,-0.028256599999999996,-0.082070462,-0.106506639,0.034427592,0.005805271999999999,-0.008994888000000001,-0.020919596000000002,-0.0037745229999999997,-0.004248819,-0.001268225,-0.12782014,-0.018996403999999998,-0.021498452,0.063865961,0.027412972,0.072849227,0.028813522999999997,-0.08524762300000001,-0.018795153000000002,-0.012321200000000001,-0.125380235,-0.063650635,0.069521536,0.17665808600000002,-0.06528904099999999,-0.008688355,0.13121838800000002,-0.013076292,0.07699175700000001,0.054047637,0.119870694,0.012329452,0.154762083,-0.006991749,-0.013382111,0.043508164,-0.0334576,0.016295218,-0.063631412,0.093217867,0.079157616,0.076976262,-0.094616122,-0.014161748,0.06992088099999999,0.00040599999999999995,0.087787185,-0.00461868,-0.028398609,0.067780167,0.015490604,-0.006335411,-0.00037799999999999997,-0.065699966,0.017740167,0.051015712000000005,0.025836817999999998,0.15210974800000002,-0.005010724,0.068896179,0.034347839,-0.076240315,0.009362096,0.048924882,-0.03492818,-0.04898848099999999,-0.070038105,-0.000384,0.035966632000000005,-0.017300922,-0.011633785,0.011691773,1.176647068,0.0,0.34937882299999995,0.311129379,0.0,0.0,0.0059198390000000005,0.0,0.0,-0.25
When youve still got a whole season of Wentworth to watch and a stupid cunt in work ruins it for us @__KirstyGA #raging #oldcunt,0.875,0.03103744,-0.032684291000000004,0.031868218,-0.026753093999999998,0.053214498,0.000171,0.06492315900000001,0.001092417,-0.006041918,-0.012894843000000001,-0.019967401,0.003639002,-0.09384569,-0.02121903,0.007837017,0.04168897,-0.021145445,-0.002527696,-0.022632047000000002,0.063487399,0.030856669,-0.00742191,0.015958489,-0.00371589,-0.0009939999999999999,-0.049056877,0.09267509300000001,0.065915892,0.019983813,-0.076840347,-0.065623342,0.020198027,-0.004697589,-0.011484723999999998,0.004563128,-0.02156143,-0.003725857,0.0009460000000000001,-0.054050117,0.004397362,-0.034705318,-0.018649773,0.009254318000000001,0.073214163,0.011556038999999999,0.048914293,-0.037925793,-0.010614806000000001,-0.031026127999999997,-0.038794947999999996,0.029024125,0.06413928299999999,-0.035120447,0.050151207,0.08865409699999999,-0.031664314,0.026243719,0.003327084,-0.019319541000000003,0.026629253999999998,0.017110083999999998,-0.03679606,-0.045553509000000006,-0.025642577000000003,-0.012671835,0.025271798999999998,-0.008179322,0.058941294000000005,-0.012407575,0.032723145,-0.08390210699999999,0.006506409,0.013476411,-0.020689236,-0.015137946999999999,0.023511472000000002,0.006370623000000001,-0.038927854,0.008086855,0.052226604,0.044914460999999996,-0.029872875,0.092821661,0.051354727999999995,0.03246418,0.078016902,-0.002511626,0.066477226,0.017823145,-0.007780245999999999,0.023422453,0.055574325,-0.031483006,-0.014054665,-0.054843003,0.005226352,-0.004217789,-0.057161287000000005,0.026836082999999997,-0.020892654,4.285715846,1.0747921790000001,1.403242785,0.418884508,0.253242532,0.088889972,0.738151355,0.226777235,0.76133484,-1.332738095
"@bt_uk why does tracking show my equipment delivered, when it wasnt? Why is my service suddenly delayed? Weve already 3 weeks. #fuming",0.875,0.011206171000000001,-0.051641362,0.023069368,-0.006905504,0.005677402,0.009053781,0.075325987,0.004233904,0.005795963,-0.022094686000000002,-0.027116331,-0.01464033,-0.06476876599999999,-0.035681937999999996,0.018674518,0.025654944,-0.015715539,-0.024995608,-0.007268236,0.040604275,-0.007448076999999999,-0.013023728,0.037166525,0.041338456,-0.01101116,-0.04847076,0.069640416,0.062395954000000003,-0.006661098000000001,-0.07075394,-0.025681388,0.011657598,-0.007611117,-0.023476921,0.000491,-0.044560301,0.0067126930000000005,-0.024494556,-0.07233536,-0.004369022,-0.028563817000000002,0.006720436999999999,0.016403775,0.053067273,-0.001831895,0.040695474,-0.018316883,-0.018668473,-0.024064027999999998,-0.033258948999999996,0.042619699999999996,0.082249228,-0.028891845,0.082216857,0.048237375,-0.000348,0.0035967940000000004,0.065462724,-0.026453424,0.051369763,0.031288629,-0.052044643,-0.033923699999999994,-0.051205633,0.006222678000000001,0.049725224000000005,0.016672348,0.019182938,-0.02387463,0.020124452,-0.111002103,0.016690973,0.033254415,0.020419902,0.010181826,0.012350284,-0.026331748999999998,-0.036461247,0.004791105,0.052793463,0.056530809,-0.011139636000000001,0.054044552999999995,0.051180555999999995,-0.026390485,0.118640224,0.013145971000000001,0.084028066,-0.014449894,0.008603422,0.00333423,0.076918192,0.013950125,-6.07e-05,-0.048751101,0.008349951999999999,-0.035395863,-0.054414421,0.045710045,-0.028615382,4.12505795,2.4875776000000003,1.009104905,3.1064652689999996,0.227185225,0.0,0.889849276,0.0,0.293055556,-0.4375
"@TeamShanny legit why i am so furious with him, people are such fucking idiots.",0.875,0.038711246,-0.059755764,0.049017042999999996,0.018758975,0.027980558,-0.038259976,0.038108037000000004,-0.023290564,-0.006983889,0.003357555,-0.007984691,-0.0070349769999999996,-0.056308197000000004,0.000181,-0.011629167,0.047714019,-0.038011055,0.003085197,-0.038236957,0.065563688,0.053586187,-0.056176535,0.031662512000000004,0.031997331000000004,-0.032684542999999996,-0.086588094,0.09398037,0.018061168,0.020324691000000002,-0.046048734,-0.043404994,0.0439225,0.005003619,-0.071877329,0.055790781,-0.029157212999999998,-0.039716615,-0.009562351,-0.068850472,-0.032993331,-0.029582504,-0.060836735,0.022978348,0.067198217,0.036360251,0.059291852,-0.014827429,-0.045380349,0.036505382,-0.018264212,0.08693804699999999,0.092234871,-0.041413941,0.062917132,0.093076368,-0.012081478,0.00498392,0.037676733,0.012402024,0.0044850029999999996,0.026161726,-0.10670306800000001,-0.08778527,-0.018626779,-0.026665306,0.037242811,0.05742037,0.09020178599999999,0.0015971689999999998,0.027570368999999997,-0.07260947400000001,0.0039331259999999995,0.000157,-0.025662367000000002,0.06313098,0.009773113,0.025691863,-0.055869296,0.003914769,0.08852594,0.13674663199999998,-0.05619053,0.07162392,0.03845474,-0.028762117,0.098969902,-0.00515016,0.073586279,0.028418216,-0.002245765,0.026566647999999998,0.060068147,0.0035926559999999996,0.011451426,-0.027193346,-0.016336633,0.016803238999999998,-0.063105442,0.045980596,-0.02842698,3.928037269,0.0,1.3710283030000001,0.17750712800000001,0.33656854399999997,0.030215588999999998,0.412380546,0.032616305,0.0,-0.260416667
How is it suppose to work if you do that? Wtf dude? Thanks for pissing me off.,0.875,0.013841641000000002,-0.08161529099999999,0.045729299,-0.012392616,0.044039326,-0.016698854,0.078174792,0.022655016,-0.005092121,-0.01914448,-0.008450589,-0.034540111,-0.091642789,-0.027875068,0.006792731,0.039285433,-0.016962466000000002,-0.056854124000000006,-0.067793888,0.050043134,0.024737774,-0.045517049000000004,0.050629482,0.019780124,0.029213392,-0.09403836800000001,0.104727019,0.070971484,-0.037855818,-0.062612202,-0.027053313,-0.005223335,0.023786222000000003,-0.075262845,0.020113788,-0.047255252000000005,-0.038275186,-0.009092204,-0.057377412999999995,-0.002007269,-0.024872044,-0.067681992,-0.009171506,0.074236576,0.013516887,0.074111896,-0.030440984,-0.02472567,0.011413732,-0.013975311,0.021486184,0.09129395800000001,-0.065636157,0.093069612,0.029607572999999998,-0.001299971,0.003553645,0.019857325,-0.041363726,0.057239772,0.002774139,-0.10028904599999999,-0.057653479,-0.031866306000000004,-0.037227616,0.029989397999999997,0.03605451,0.040338777,-0.049866759000000004,0.06897969400000001,-0.113899369,-0.024001047,0.032273744,0.002347019,0.025862226000000002,0.008842553000000001,0.005834224,-0.041599552000000005,0.003891517,0.08648795699999999,0.071736891,-0.050815227000000004,0.067385343,0.045708699000000005,-0.030939219,0.06631122099999999,-0.006722589,0.06522427,0.00650079,-0.019441065,0.0675437,0.09175596800000001,-0.007345894,-0.028861087,-0.08576231599999999,0.042753032999999996,0.004775811,-0.08119447,0.046239178,-0.006774279,2.469694569,0.061206197000000004,1.400951447,0.053111952999999996,0.225111493,0.0,0.967031027,0.30093026,0.241543173,-1.0195512820000001
im so mad about power rangers. im incensed. im furious.,0.667,0.065024848,-0.048388672,0.023391276000000003,0.035675534,0.047452126,-0.020891065,0.017899451,-0.004753773,0.045116435,-0.016629851,0.01126825,0.020351756999999998,-0.075046122,-0.0008900000000000001,0.020815552,0.000301,-0.052894221,-0.029691897999999998,-0.019819853999999998,0.07068206099999999,0.0648531,-0.0034855809999999997,-0.015791616,0.0051535090000000006,-0.05993814099999999,-0.070974001,0.10456628300000001,0.032303405,0.03194675,-0.057879094000000006,-0.053899245,0.035261191000000004,-0.00020899999999999998,-0.032203491,0.013953897,-0.0035356959999999996,-0.027829417999999998,0.023359426000000003,-0.097898195,-0.03048966,-0.046039993,-0.017879787,0.047378530999999995,0.024594058,0.023321525,0.047228117,-0.036635096,-0.027764063999999998,-0.013573433999999999,0.016301812,0.045039567999999995,0.069211695,-0.0061662769999999995,0.04432346,0.13091266699999998,0.011909245,0.025427947000000003,0.033527622,0.017739501,0.034355743,0.052139158,-0.077357779,-0.080972537,-0.038094317,-0.048128607999999996,0.028312757999999997,0.034205778,0.09506235199999999,-0.0077359609999999995,0.051298907000000005,-0.071398171,0.003392568,0.030076767999999997,-0.048076409,0.022388788,-0.014064431,0.006249158,-0.035211489,0.034450515,0.084714766,0.08707613300000001,-0.025588472,0.103858417,0.08302422400000001,-0.035328079,0.14616874300000002,0.024996586,0.028748332999999997,-0.042844112999999996,-0.021515967,0.049267542000000004,0.08500163300000001,-0.05153289,-0.033037691,-0.044658517,0.004410313,0.05349219400000001,-0.011649747,0.073843754,0.022344357999999998,2.374433453,0.9687769209999999,0.0,0.039208303,0.0,0.088954806,0.046772115,0.0,0.171875,-0.422916667
Wont use using @mothercareuk @Mothercarehelp again!! These guys cant get nothing right!! #fuming,0.8540000000000001,0.056059789000000006,-0.041949627,0.016160803,0.016162826,0.058023974000000006,-0.052103505999999994,0.09016578,0.010426754,-0.008171649,0.031441093999999996,0.012920335,-0.005618319,-0.07500625400000001,0.018982329,0.023723431,0.053052361,0.015863556,0.010757753,-0.028998497999999998,0.038649057,0.022769797,-0.032111819,0.043696922,0.046113004000000006,0.022688551,-0.027185266,0.06929402900000001,0.064797002,-0.009468878,0.011425633000000001,-0.021931805,-0.042920632,0.036192387,-0.121482226,0.048113382,-0.015959167,-0.015983245,0.020512748,-0.080674441,0.014141303999999999,-0.015823151,-0.041825453,0.014896975,0.065403503,-0.006188796,0.018323975,-0.043320838,-0.018277306,0.026606988999999998,-0.033044812,0.027672602999999997,0.075310393,-0.074947448,0.057939338,0.054135429000000006,0.048827668,-0.029666428999999998,0.020864571999999998,-0.053703722999999995,0.013422231000000001,0.055226128,-0.068930965,-0.047448772,-0.015542074,-0.073164964,0.008630464000000001,0.05356809,0.008263501999999999,-0.035870537,0.033296012,-0.09967738400000001,-0.044683917999999996,0.036319141,-0.016699437,0.001637344,0.004102025,0.038091077,-0.04059009,0.014869635,0.07757117,0.060704843,-0.035559475,0.009452957,0.046546786,-0.01042906,0.048374754000000006,0.004729988,0.07045955,0.038270537,0.00046399999999999995,0.050476064,0.052393203,-0.002457395,-0.026519259,-0.058311256,0.048048262,0.00200591,-0.096790053,0.019678638999999998,0.015366196,2.7174845989999996,0.0011254239999999999,1.184024835,0.333051468,0.229401119,0.248919456,0.0,0.131415779,1.181958421,-0.025
