tweet,emotion,magnitude
Depression sucks! #depression,sadness,0.958
Feeling worthless as always #depression,sadness,0.958
Feeling worthless as always ,sadness,0.958
My #Fibromyalgia has been really bad lately which is not good for my mental state. I feel very overwhelmed #anxiety #bipolar #depression,sadness,0.946
Im think ima lay in bed all day and sulk. Life is hitting me to hard rn,sadness,0.934
So when I try I fail... and when I dont try... I still fail... #confused and #lost,sadness,0.917
Extreme sadness,sadness,0.917
my life in one word is depressing,sadness,0.917
Panic attacks are the worst. Feeling really sick and still shaking. I should be a sleep. #anxiety #depression,sadness,0.917
Feel so grim + ugly atm,sadness,0.896
Honestly depression is kicking my ass lately..,sadness,0.896
At my age all I see is gray. Is it gray because of my bad eyes or my perspective #depression #healingjustice,sadness,0.896
I sulk too much for my own good.,sadness,0.896
A night where depression is winning... #depression #fml #help,sadness,0.896
Going home is depressing,sadness,0.896
We cant even grieve over one black body before another one pops up due to pig brutality,sadness,0.892
Its a gloomy ass day,sadness,0.888
@Fra93_bruno wow Im just really sadden by that. Terrible,sadness,0.875
My heads still in Ibiza but my body is sat at me desk at work #depressing,sadness,0.875
@Ashleyavitia_ dont leave me #sad,sadness,0.875
Depression sucks! ,sadness,0.875
Its been a week of awful connectivity with @TMobile no service or only 4G is not what Im paying for. #unhappy #poorservice,sadness,0.87
This the most depressing shit ever,sadness,0.861
Sometimes The Worst Place You Can Be Is In Your Own Head.\n\n#quotes #worstenemy #depression #thinktoomuch,sadness,0.854
"@TMobileHelp my service is down in Cleveland, OH. Whats going on? #unhappy",sadness,0.854
What a sad evening - clearing out all of Harveys cage and belongings. Now so final. Goodbye my little man.... #depressing,sadness,0.854
When you have 15 doe run the opposite side of you #depression,sadness,0.854
The moment of the day when you have to start to plaster a smile in your face. #depression,sadness,0.854
I hate when its gloomy outside because it always gets me in a depressing mood,sadness,0.839
People stealing things from my work out quite the damper on my day so now I am going to wear pajamas all day,sadness,0.833
@FlakeJay ring ring! #depression is here,sadness,0.833
Its now September and were still battling a situation that was said to be handled March of this year. @ATT this is unacceptable #unhappy,sadness,0.833
"@xBFDR yeah Im sure it will, its just so depressing having to talk to my parents over the phone instead of talking to them downstairs",sadness,0.833
| At home sick... The blues wont cure it so I need ideas | #sorethroat #sick #blues #music #fallweather #carletonuniversity #ottawa,sadness,0.833
I wouldnt wish anxiety and depression even on the worst of people. Its not fun. #anxiety #depression,sadness,0.833
sorry Main twitter im in depress,sadness,0.833
"@Markgatiss Im surrounded by those Trump voters. Youre right, it is fucking terrifying. #redstate #despair",sadness,0.833
come to the funeral tomorrow at 12 to mourn the death of my gpa,sadness,0.833
"@TNFryed Jesus, you just made think that of all the Vols v fl games Ive seen. Ive never seen a win. #depression",sadness,0.833
After spending @Debenhams I was offered a 5 voucher. I asked if I could spend it at weekend? Was told no valid today only #unhappy,sadness,0.814
Thought I had a pretty solid GPA as a kin major and now that I look at the average for dpt programs I feel even more discouraged ,sadness,0.812
depress ,sadness,0.812
"Lament a \nsaddened heart,\nso far &amp; \nyet so near,\nthe years so\ntough &amp; scarred,\nthis lonesome\nroad,\nstill feared! #depression \n\n#poetry #poem",sadness,0.812
Summer officially ends today. #sadness,sadness,0.812
Well my evaluation came back and i am minimally effective. Student test scores on the PARCC sunk my eval. its time for me to quit teaching,sadness,0.812
"bad news fam, life is still hard and awful #depression #anxiety #atleastIhaveBuffy",sadness,0.812
"Oh, I should just get over my #depression and be happy? Dont you think Ive tried that thousands of times already? Youre not helping.",sadness,0.812
Im really constipated. This is depressing,sadness,0.812
When health insurance wont cover TMS but they let me know they cover ECT #mentalhealth #psychology #depression #TMS #ECT,sadness,0.811
Somewhere between  #hope and #despair the day after #meetingmyabuserincourt \n#DVSurvivor,sadness,0.81
@Christy_RTR @doge_e_fresh Im despondent,sadness,0.806
2 applications for my dbs and still waiting. Been over a year now. Going to loose my job  @GOVUK  #thanks #unhappy #crb,sadness,0.792
I miss when social media was a place to get laughs off and jump in DMs lol..... shit is depressing now ,sadness,0.792
@Hayles_101 The three Rs depress me.,sadness,0.792
Too many gloomy days,sadness,0.792
The weather sure matches the mood in this state today.. #gloomy,sadness,0.792
and again dirty and  self loathing attitude  mope talking,sadness,0.792
Wearing all black tomorrow as I continue to mourn the lives of the most recent victims of police brutality. #blackout #WU,sadness,0.779
Am I the only person who dislikes fall? #FirstDayofFall #leaves #thingsdie #depressing #cold #noflipflops ,sadness,0.771
