tweet,emotion,magnitude
I feel like I am drowning. #depression #anxiety #falure #worthless,fear,0.9790000000000001
I get so nervous even thinking about talking to ****** I wanna die,fear,0.9790000000000001
I lost my blinders .... #panic,fear,0.975
I feel like I am drowning. #depression  #falure #worthless,fear,0.938
This is the scariest American Horror Story out of all of them... Im gonna have to watch in the daytime. #frightened,fear,0.938
@mgcsartwork I nearly started crying and having a full on panic attack after tatinof bc of the crowds so I feel him,fear,0.938
I have to finally tell my therapist about my sexuality ... last frontier ... not sure I can do it in the AM #fear #SingleGirlProblems,fear,0.938
@laura221b I dont think Ive ever moved so fast in a panic in all my life  Gave me such a fright ,fear,0.938
My bus was in a car crash... Im still shaking a bit... This week was an absolute horror and this was the icing on the cake... #terrible,fear,0.938
My bus was in a car crash... Im still shaking a bit... This week was an absolute horror and this was the icing on the cake... ,fear,0.92
procrasting is fun until im an hour away from the time its due and i still havent finished so i have a panic attack,fear,0.92
My #anxiety is rising tonight and Im not sure why. Sometimes I wonder if Im a magnet for any free-floating anxiety in the universe.,fear,0.917
"Im not a #nervouswreck, Im a #nervous #pileup. #GoingCrazy #HelpMe #Insane #Antisocial",fear,0.917
#panic Panic attack from fear of starting new medication,fear,0.917
Job interview in the afternoon #nervous #ek,fear,0.917
I am beyond mad that I lost track of a brown spider in my brown carpet. Where did you go?  will be sneaking up on me ,fear,0.917
anxiety level- 100,fear,0.905
Wah just woke up frm a fucking nightmare,fear,0.898
I get so much PUSSY\nP - panic attacks \nU - uncontrollable anxiety \nS - suicidal fantasies \nS - sadness \nY - yearning for death,fear,0.8959999999999999
Cosplaying properly for the first time on Saturday! Pretty nervous..,fear,0.8959999999999999
"@Markgatiss Im surrounded by those Trump voters. Youre right, it is fucking terrifying. #redstate #despair",fear,0.8959999999999999
"Ignored broken tooth for so long, now have abscess. Need dentist but #fear makes it hard for me to go..45 and still cant go to dentist",fear,0.8959999999999999
@RogueCoder250 We are in so much trouble!! I dont think the Rev will see the funny side of our project. #nervous,fear,0.8959999999999999
im crying katherine is the only one whos like talking to me during my anxiety attack im gonna faint,fear,0.8959999999999999
